,instant,dteday,season,year,month,holiday,weekday,workingday,weathersit,temperatura,atemp,humedad,windspeed,casual,registered,total_alquileres,usuarios_totales,clima
0,1,2011-01-01,springer,0,1,0,6,0,2,14.110847,0.363625,0.805833,0.160446,331,654,985,985,Nublado
1,2,2011-01-02,springer,0,1,0,0,0,2,14.902598000000001,0.353739,0.696087,0.248539,131,670,801,801,Nublado
2,3,2011-01-03,springer,0,1,0,1,1,1,8.050924,0.189405,0.437273,0.248309,120,1229,1349,1349,Despejado
3,4,2011-01-04,springer,0,1,0,2,1,1,8.200000000000001,0.212122,0.590435,0.160296,108,1454,1562,1562,Despejado
4,5,2011-01-05,springer,0,1,0,3,1,1,9.305237,0.22927,0.436957,0.1869,82,1518,1600,1600,Despejado
5,6,2011-01-06,springer,0,1,0,4,1,1,8.378268,0.233209,0.518261,0.0895652,88,1518,1606,1606,Despejado
6,7,2011-01-07,springer,0,1,0,5,1,2,8.057402,0.208839,0.498696,0.168726,148,1362,1510,1510,Nublado
7,8,2011-01-08,springer,0,1,0,6,0,2,6.765000000000001,0.162254,0.535833,0.266804,68,891,959,959,Nublado
8,9,2011-01-09,springer,0,1,0,0,0,1,5.671653,0.116175,0.434167,0.36195,54,768,822,822,Despejado
9,10,2011-01-10,springer,0,1,0,1,1,1,6.184153,0.150888,0.482917,0.223267,41,1280,1321,1321,Despejado
10,11,2011-01-11,springer,0,1,0,2,1,2,6.9327309999999995,0.191464,0.686364,0.122132,43,1220,1263,1263,Nublado
11,12,2011-01-12,springer,0,1,0,3,1,1,7.0818069999999995,0.160473,0.599545,0.304627,25,1137,1162,1162,Despejado
12,13,2011-01-13,springer,0,1,0,4,1,1,6.765000000000001,0.150883,0.470417,0.301,38,1368,1406,1406,Despejado
13,14,2011-01-14,springer,0,1,0,5,1,1,6.59567,0.188413,0.537826,0.126548,54,1367,1421,1421,Despejado
14,15,2011-01-15,springer,0,1,0,6,0,2,9.566653,0.248112,0.49875,0.157963,222,1026,1248,1248,Nublado
15,16,2011-01-16,springer,0,1,0,0,0,1,9.498347,0.234217,0.48375,0.188433,251,953,1204,1204,Despejado
16,17,2011-01-17,springer,0,1,1,1,0,2,7.209153,0.176771,0.5375,0.194017,117,883,1000,1000,Nublado
17,18,2011-01-18,springer,0,1,0,2,1,2,8.883347,0.232333,0.861667,0.146775,9,674,683,683,Nublado
18,19,2011-01-19,springer,0,1,0,3,1,2,11.979134,0.298422,0.741739,0.208317,78,1572,1650,1650,Nublado
19,20,2011-01-20,springer,0,1,0,4,1,2,10.728347,0.25505,0.538333,0.195904,83,1844,1927,1927,Nublado
20,21,2011-01-21,springer,0,1,0,5,1,1,7.2775,0.157833,0.457083,0.353242,75,1468,1543,1543,Despejado
21,22,2011-01-22,springer,0,1,0,6,0,1,2.4243464,0.0790696,0.4,0.17197,93,888,981,981,Despejado
22,23,2011-01-23,springer,0,1,0,0,0,1,3.9573897000000002,0.0988391,0.436522,0.2466,150,836,986,986,Despejado
23,24,2011-01-24,springer,0,1,0,1,1,1,3.9930433,0.11793,0.491739,0.15833,86,1330,1416,1416,Despejado
24,25,2011-01-25,springer,0,1,0,2,1,2,9.162598000000001,0.234526,0.616957,0.129796,186,1799,1985,1985,Nublado
25,26,2011-01-26,springer,0,1,0,3,1,3,8.9175,0.2036,0.8625,0.29385,34,472,506,506,Lluvioso
26,27,2011-01-27,springer,0,1,0,4,1,1,7.995,0.2197,0.6875,0.113837,15,416,431,431,Despejado
27,28,2011-01-28,springer,0,1,0,5,1,2,8.342597999999999,0.223317,0.793043,0.1233,38,1129,1167,1167,Nublado
28,29,2011-01-29,springer,0,1,0,6,0,1,8.057402,0.212126,0.651739,0.145365,123,975,1098,1098,Despejado
29,30,2011-01-30,springer,0,1,0,0,0,1,8.877402,0.250322,0.722174,0.0739826,140,956,1096,1096,Despejado
30,31,2011-01-31,springer,0,1,0,1,1,2,7.414153,0.18625,0.60375,0.187192,42,1459,1501,1501,Nublado
31,32,2011-02-01,springer,0,2,0,2,1,2,7.8791340000000005,0.23453,0.829565,0.053213,47,1313,1360,1360,Nublado
32,33,2011-02-02,springer,0,2,0,3,1,2,10.66,0.254417,0.775417,0.264308,72,1454,1526,1526,Nublado
33,34,2011-02-03,springer,0,2,0,4,1,1,7.665237,0.177878,0.437826,0.277752,61,1489,1550,1550,Despejado
34,35,2011-02-04,springer,0,2,0,5,1,2,8.663464,0.228587,0.585217,0.127839,88,1620,1708,1708,Nublado
35,36,2011-02-05,springer,0,2,0,6,0,2,9.566653,0.243058,0.929167,0.161079,100,905,1005,1005,Nublado
36,37,2011-02-06,springer,0,2,0,0,0,1,11.719153,0.291671,0.568333,0.1418,354,1269,1623,1623,Despejado
37,38,2011-02-07,springer,0,2,0,1,1,1,11.138347,0.303658,0.738333,0.0454083,120,1592,1712,1712,Despejado
38,39,2011-02-08,springer,0,2,0,2,1,1,9.054153,0.198246,0.537917,0.36195,64,1466,1530,1530,Despejado
39,40,2011-02-09,springer,0,2,0,3,1,2,5.526102999999999,0.144283,0.494783,0.188839,53,1552,1605,1605,Nublado
40,41,2011-02-10,springer,0,2,0,4,1,1,5.918268,0.149548,0.437391,0.221935,47,1491,1538,1538,Despejado
41,42,2011-02-11,springer,0,2,0,5,1,1,7.752731000000001,0.213509,0.506364,0.10855,149,1597,1746,1746,Despejado
42,43,2011-02-12,springer,0,2,0,6,0,1,9.1225,0.232954,0.544167,0.203367,288,1184,1472,1472,Despejado
43,44,2011-02-13,springer,0,2,0,0,0,1,12.977402000000001,0.324113,0.457391,0.260883,397,1192,1589,1589,Despejado
44,45,2011-02-14,springer,0,2,0,1,1,1,17.015,0.39835,0.375833,0.417908,208,1705,1913,1913,Despejado
45,46,2011-02-15,springer,0,2,0,2,1,1,10.909567000000001,0.254274,0.314348,0.291374,140,1675,1815,1815,Despejado
46,47,2011-02-16,springer,0,2,0,3,1,1,13.048701000000001,0.3162,0.423478,0.251791,218,1897,2115,2115,Despejado
47,48,2011-02-17,springer,0,2,0,4,1,1,17.869153,0.428658,0.505,0.230104,259,2216,2475,2475,Despejado
48,49,2011-02-18,springer,0,2,0,5,1,1,21.388347,0.511983,0.516667,0.264925,579,2348,2927,2927,Despejado
49,50,2011-02-19,springer,0,2,0,6,0,1,16.365847,0.391404,0.187917,0.507463,532,1103,1635,1635,Despejado
50,51,2011-02-20,springer,0,2,0,0,0,1,11.693897,0.27733,0.407826,0.223235,639,1173,1812,1812,Despejado
51,52,2011-02-21,springer,0,2,1,1,0,2,12.436653000000002,0.284075,0.605,0.307846,195,912,1107,1107,Nublado
52,53,2011-02-22,springer,0,2,0,2,1,1,7.471102,0.186033,0.577778,0.195683,74,1376,1450,1450,Despejado
53,54,2011-02-23,springer,0,2,0,3,1,1,9.091299,0.245717,0.423043,0.094113,139,1778,1917,1917,Despejado
54,55,2011-02-24,springer,0,2,0,4,1,2,12.121732000000002,0.289191,0.697391,0.250496,100,1707,1807,1807,Nublado
55,56,2011-02-25,springer,0,2,0,5,1,2,14.938268,0.350461,0.712174,0.346539,120,1341,1461,1461,Nublado
56,57,2011-02-26,springer,0,2,0,6,0,1,11.5825,0.282192,0.537917,0.186571,424,1545,1969,1969,Despejado
57,58,2011-02-27,springer,0,2,0,0,0,1,14.082598,0.351109,0.68,0.125248,694,1708,2402,2402,Despejado
58,59,2011-02-28,springer,0,2,0,1,1,2,16.698193,0.400118,0.876364,0.289686,81,1365,1446,1446,Nublado
59,60,2011-03-01,springer,0,3,0,2,1,1,10.933347,0.263879,0.535,0.216425,137,1714,1851,1851,Despejado
60,61,2011-03-02,springer,0,3,0,3,1,1,13.735000000000001,0.320071,0.449583,0.307833,231,1903,2134,2134,Despejado
61,62,2011-03-03,springer,0,3,0,4,1,1,8.131653,0.200133,0.318333,0.225754,123,1562,1685,1685,Despejado
62,63,2011-03-04,springer,0,3,0,5,1,2,10.728347,0.255679,0.610417,0.203346,214,1730,1944,1944,Nublado
63,64,2011-03-05,springer,0,3,0,6,0,2,15.750846999999998,0.378779,0.789167,0.251871,640,1437,2077,2077,Nublado
64,65,2011-03-06,springer,0,3,0,0,0,2,15.437402,0.366252,0.948261,0.343287,114,491,605,605,Nublado
65,66,2011-03-07,springer,0,3,0,1,1,1,10.731299,0.238461,0.551304,0.341352,244,1628,1872,1872,Despejado
66,67,2011-03-08,springer,0,3,0,2,1,1,11.9925,0.3024,0.420833,0.12065,316,1817,2133,2133,Despejado
